id_obra,Primeiro obra_nome,Primeiro latitude,Primeiro longitude
1,OBRA TESTE,'-23.446108,'-46.704552
71,Cantareira,'-23.4350132,'-46.581617
77,TENDA EUCALIPTOS,'-23.654941129463,'-46.605253666534
78,UNC Consolação,'-23.506267782465,'-46.611575054526
79,Klasse Alto da Boa Vista,'-23.5863566,'-46.695412651804
81,Imarés,'-23.574774283469,'-46.783702392953
83,Infinity,'-23.435805006242,'-46.582658984057
84,Iconyc,'-23.598786013027,'-46.64920621444405
85,Vila Das Belezas 3,'-23.617238743433,'-46.708186738185
89,Dez São Miguel,'-23.511917814531,'-46.432160614812
90,Dez Gamelinha,'-23.560306750981,'-46.484702184306
91,AR Ibirapuera,'-23.600553,'-46.6533962
92,Vivaz Sacomã,'-23.648582730448258,'-46.599028249685475
93,Posto FullGás,'-23.630919701039,'-46.675735188187
94,Dez Cursino,'-23.5502275,'-46.605739407632
95,Marques Construtora -> Vila das Belezas,'-23.6266013,'-46.7460474
97,Vista Alto da Lapa,'-23.560515540468,'-46.674828981731
99,Urban Barra Funda,'-23.36073429121,'-46.206093131898
100,Arky Cayowaa,'-23.531098119458,'-46.678343821804
101,Dez Tatuapé,'-23.36073429121,'-46.206093131898
102,Cerejeira,'-23.576053128069,'-46.433949446295
106,MV Itatiaia,'-23.632913886898,'-46.640377333856
107,Vivaz Estação Belém,'-23.546368633267,'-46.593623566098
114,On The Parc,'-23.6007007,'-46.6537017
116,Topázio,'-23.5800101,'-46.7802724
117,Vivaz Vila Prudente (F),'-23.5800101,'-46.5837448
118,Dez Miguel Yunes,'-23.6908371,'-46.6867007
119,Verde Hortifruti,'-23.542628966149,'-46.75192250393
120,Tamareiras,'-23.571804349408,'-46.451196
123,Alto de Itaquera,'-23.559860909744,'-46.435651693868
124,Dez Canindé,'-23.52095421018,'-46.451212560116
125,Casaviva Pirituba,'-23.4853667,'-46.7238786
127,Side Ipiranga,'-23.602848246668,'-46.606265165093
131,Meu Mundo Mooca,'-23.56094884059,'-46.608186352203
133,Praça Faria Lima,'-23.5952655,'-46.6788337
134,On Loefgren,'-23.599596683193,'-46.6381787
136,João Moura,'-23.548135032194,'-46.688765738348
140,OY Campo Belo,'-23.617506795689,'-46.677404000557
141,Chez Perdizes,'-23.532778033674,'-46.676572959721355
142,Eusebio,'-23.571404460454,'-46.694940033874
144,Bauhaus,'-23.560106699656,'-46.68040108778
145,Spazio Saint Gregory,'-23.577401503546,'-46.439272043643
146,Belvedere,'-23.558798295655,'-46.768019744569
147,UR Agua Espraida,'-23.6421942,'-46.6604002
148,UR Cachoeira,'-23.64379918973,'-46.748640116669
149,Brooklin,'-23.624721652736,'-46.689902354856
150,Neo Brooklin,'-23.6262799,'-46.690641554553
151,Cupece,'-23.6814892,'-46.6363285
152,Vivaz Socorro II,'-23.670738178527483,'-46.71205696411219
153,OLOS - Safira,'-23.580169290852,'-46.779924131923
155,Oscar Itaim,'-23.5782688,'-46.67262038802
156,Normandie,'-23.607473194263,'-46.670406253205
157,High Line,'-23.565615068165,'-46.655662124993
158,Jha Boutique,'-23.586526895308,'-46.677764409236
159,OLOS - Raposo 23,'-23.590134458486,'-46.832497251047
160,Solaris,'-23.415894543414,'-46.807108103503
161,San Felippo,'-23.619338639503,'-46.759835877408
162,Go Inn,'-23.543235120263,'-46.645282840082
163,Vila Nair,'-23.603954402972,'-46.605764192537
164,Teg Corazza,'-23.510102015791,'-46.699190557765
165,Morumbi,'-23.615383791478,'-46.709650277486
166,Terrazo Morumbi,'-23.6235149,'-46.7267109
167,Antonio Gil,'-23.667176890991,'-46.67450163638
168,Cambuci,'-23.5567555,'-46.6203043
169,Hub,'-23.6483885,'-46.7013371
171,Rita Joana,'-23.613758087368,'-46.672678819271
172,Santana,'-23.475134,'-46.6381033
173,Mérito Sabará,'-23.6707844228172,'-46.688231502558
176,Rodoanel,'-23.562294937943,'-46.819463045669
177,Teg Mooca,'-23.549794938784,'-46.608804051683
178,Santana Parnaiba,'-23.429172729466,'-46.865082188138
179,Mérito Vila Maria,'-23.4903162,'-46.5892707
180,Serra das Araras,'-23.5772006,'-46.5249873
181,Alenza Cambuí,'-22.8912943,'-47.0507569
182,Coelho de Carvalho,'-23.5367112,'-46.7163907
183,NAU Vila Mariana,'-23.5869195,'-46.6286451
185,Vivaz Prime Laguna,'-23.637026486367382,'-46.716638140816116
186,Plato Perdizes,'-23.5304064,'-46.683549
187,Forte São Matheus,'-23.477468088568234,'-46.448658646245
188,Onze de Junho,'-23.6012897,'-46.6487352
189,Invert Campo Belo,'-23.6158992,'-46.6722381
190,Visconde de Guaratiba,'-23.5993074,'-46.6190354
191,Coriolano,'-23.52589665436,'-46.6975446
192,Cidade Mooca,'-23.554288056067,'-46.6119057
193,Dez Jardim,'-23.639907273912,'-46.51467830836736
194,São Quirino,'-23.513013946899,'-46.6005157
196,Viva Barra Funda,'-23.5107499,'-46.6689493
198,Viva Benx Pompeia,'-23.5306643,'-46.68514099999999
199,Portugal,'-23.6141501,'-46.6808082
200,João Lourenço,'-23.5907788,'-46.6676642
201,For You Moema,'-23.6089496,'-46.669386
202,Allegro Campo Limpo,'-23.6419252,'-46.76901429999999
203,Solar dos Montes,'-23.5828795,'-46.31142
204,Residencial Vivence,'-23.59156,'-46.7932268
205,OLOS - São João,'-23.5868513,'-46.773005
206,Vivaz Prime João de Luca,'-23.6576779,'-46.6646605
207,Dez Ipiranga,'-23.5950323,'-46.5937269
208,OLOS - Tamareiras,'-23.5719325,'-46.4514473
209,OLOS - Ouro Preto,'-23.5892459,'-46.495801
210,Residencial Versatti,'-23.545831273693,'-46.394625404937
211,Arruda Alvim,'-23.5533247,'-46.6754887
212,Viva Sapopemba,'-23.655969616221,'-46.515841318223
213,Vibe Campo Belo,'-23.6194065,'-46.68112259999999
214,SBR Valinhos,'-23.0062998,'-47.03314839999999
216,Luiz Gatti,'-23.5124446,'-46.6973619
217,Azalea,'-23.6066396,'-46.6388719
218,Clari Pinheiros,'-23.5627461,'-46.6758566
220,São João - Borra de Concreto,'-23.5119527,'-46.8168838
221,Vibe Pinheiros,'-23.5661642,'-46.69395919999999
222,AMA,'-23.6712391,'-46.6983947
223,Viva Benx Casa do Ator,'-23.5966573,'-46.6836452
224,Vila de Fatima,'-23.5757743,'-46.7375482
225,Benx Brigadeiro,'-23.5814674,'-46.6652426
227,Arcos Itaim,'-23.5960942,'-46.675177
228,Shopping Center Norte,'-23.5133255,'-46.6183475
229,Parque Global,'-23.624720060973733,'-46.7122617542469
230,Cortesia Concreto (Usina),'-23.5705974,'-46.7624624
231,Consórcio Paulista,'-23.435912982292212,'-46.740566410450725
233,UP Imirim,'-23.479605,'-46.6594629
234,Balkon,'-23.615351,'-46.673167
235,Buritis,'-23.570060150582094,'-46.448937610914044
236,Condessa da Penha,'-23.5201267,'-46.5554187
237,OLOS - Onix,'-23.5748436,'-46.7826132
238,Usinas SP,'-23.41061092677632,'-46.73434982920889
240,Engemix - Cotia,'-23.5911918,'-46.8253216
241,Engemix - ABC,'-23.652459265411544,'-46.51122750424405
242,Engemix - Jurubatuba,'-23.6745945,'-46.6958333
244,Vivaz Prime Santa Cecilia,'-23.510494005984793,'-46.6572727
245,Vibe Vila Olimpia,'-23.601501705261516,'-46.68045436662272
246,On Jardins,'-23.5583191,'-46.6659018
247,VB Conceição,'-23.6312405,'-46.6399128
248,Tobias Barreto,'-23.553147943375457,'-46.590712330688476
249,VB Vila Olimpia,'-23.59708,'-46.6894395
250,For You Perdizes,'-23.536898726801855,'-46.66866898889853
251,Vivaz Prime Vila Prudente,'-23.5823576,'-46.5784751
252,Living Alto do Ipiranga,'-23.5992696,'-46.613889
253,For You Paraiso,'-23.57623123557664,'-46.63942428001592
254,Rivera,'-23.5736718,'-46.3451415
256,Viva Socorro,'-23.6795346,'-46.7064062
257,EMBU - Mogi das Cruzes,'-23.43949,'-46.10914
258,Projeto Yara Cubatão,'-23.842345,'-46.3770019
259,Safira,'-23.580047,'-46.780351
260,HM 61 Guaianases,'-23.5630287,'-46.402496
261,Living Duett Mooca,'-23.57210493260725,'-46.586004643531794
266,Urban Tatuapé,'-23.5348444,'-46.5600239
268,Square Panamby,'-23.485208,'-46.7239775
270,Siemens Mobility,'-23.3599949,'-46.2060798
271,Silver Lyne Pirituba,'-23.48801,'-46.726018
272,338 - Bosque Pitangueiras,'-23.512028201121502,'-46.67061671186738
274,Lorena,'-23.5612679,'-46.6689888
275,San Noah,'-23.661752,'-46.783392
277,Wasaki Engenharia,'-23.3150023,'-45.8074246
279,Estação Campo Belo,'-23.518679527808995,'-46.67978659040774
280,Nordestina,'-23.5108633,'-46.431061
281,HM 69 Mogi das Cruzes,'-23.495199,'-46.2161445
282,Connect São Matheus,'-23.5976885,'-46.47104969999999
283,Brooklin Arcoenge,'-23.6268997,'-46.6826103
284,Carneiro da Cunha,'-23.6161724,'-46.6369203
285,HM 81 Smart Capao Redondo,'-23.6626203,'-46.7676546
286,Le Jardin By Yoo,'-23.5610933,'-46.6756556
287,Polimix Barueri,'-23.553877047362604,'-46.67552126887984
291,Usina Serveng Barueri,'-23.499952266172915,'-46.925510950595175
293,Oratório,'-23.544569,'-46.53916599999999
294,Brasílio Machado,'-23.6780283,'-46.7082656
295,Energy Guarulhos,'-23.4743474,'-46.52501729999999
296,339 - Reserva das Figueiras,'-23.512028201121502,'-46.67061671186738
297,Único Santo André,'-23.6566495,'-46.5538573
298,Elo Santo André,'-23.6715142,'-46.5155888
299,Siena,'-23.558177808205233,'-46.33209535069579
300,Area Impressorão,'-23.5497205,'-46.4745374
301,Casa São Paulo,'-23.5509355,'-46.712387
302,Viva Vila Prudente,'-23.5866234,'-46.5871722
304,Dez Celeste,'-23.6553231,'-46.6085147
306,Cidade Jaguaré,'-23.5379462,'-46.7489569
307,Colibri,'-23.5216563,'-46.2288659
309,Galpão C3 Perus - FASE 01,'-23.402791,'-46.7241519
310,JFL - Torre Renda - FASE 01,'-23.5618453,'-46.6684468
311,Conexão Morato,'-23.5876004,'-46.67550509228254
312,Guedala Park,'-23.5836941,'-46.7159802
315,Engemix - Santo Amaro,'-23.6665299,'-46.7227559
316,OBRA TESTE FRETES,'-23.5953265,'-46.6907212
317,Vivaz Penha fase 2 (carga seca),'-23.2088283,'-46.4717573
318,Living Unique Freguesia do Ó (carga seca),'-23.4194869,'-46.4241612
319,Cyrela Oscar Freire II (carga seca),'-23.2088283,'-46.2188188
322,Living Blend (carga seca),'-22.901346578819613,'-46.74308629999999
324,Living Full Faria Lima (carga Seca),'-23.2006563,'-46.4600358
325,Living Full V. Nova Conceição (carga seca),'-23.4194869,'-46.4241612
326,Living Gran Exclusive Freguesia do Ó (carga seca),'-23.1744955,'-46.4241612
344,Cyrela Casa Ibirapuera (carga seca),'-23.4096859,'-46.4000841
346,Cyrela Eden Corporate (carga seca),'-22.901346578819613,'-46.4000841
363,Vivaz Estação São Lucas (carga seca),'-23.2020593,'-46.4241612
365,AR.QUE,'-23.5455768,'-46.6472237
366,Vivaz Freguesia do Ó (carga seca),'-23.2009088,'-46.4714957
371,Vivaz Prime Belém (carga seca),'-23.225368851196393,'-46.4712603
372,Vivaz Prime Belenzinho (carga seca),'-23.2020593,'-46.4311208
375,Vivaz Prime Rio Bonito 1 (carga seca),'-23.4464044,'-46.6924801
376,Vivaz Prime Rio Bonito 2 (carga seca),'-23.5416343,'-46.5971763
377,Vivaz Prime Santa Cecília (carga seca),'-22.627974,'-46.4418418
379,Vivaz Prime V. Nova Cachoeirinha 1 (carga seca),'-23.474417,'-46.4717573
380,Vivaz Prime V. Nova Cachoeirinha 2 (carga seca),'-23.4666194,'-46.4600358
381,Vivaz Prime V. Prudente (carga seca),'-23.119368,'-46.4717573
382,Vivaz Prime Voluntários da Pátria (carga seca),'-22.903183323414197,'-46.46965837022249
383,Vivaz Vila Ema (carga seca),'-23.1751112,'-46.4331875
386,Cortesia Jaguaré,'-23.5636564,'-46.7505412
387,Eco ponto (carga seca),'-23.5872815,'-46.6742539
388,Hesa 193,'-23.766545496505834,'-46.67550509228254
389,Moema By Yoo,'-23.61172034673902,'-46.66718583319438
390,Cidade Central,'-23.5397502,'-46.6280955
391,Galpão C3 Perus - FASE 02,'-23.402593,'-46.7262358
393,The Place Barra Funda,'-23.5180974,'-46.6280955
394,AR.QUE (carga seca),'-22.9397387,'-46.132815266901126
395,Nossa Senhora do Ó,'-23.5046766,'-46.6933896
396,Nascente Dunas,'-23.4759183,'-46.7278639
397,BTEC - Ayrton Senna,'-23.4428586,'-46.2668693
398,Hectare Anália Franco,'-23.563470827069054,'-46.564914522753895
399,Guido Caloi,'-23.66218440864064,'-46.72521768042601
400,Residencial Olimpia,'-23.586464,'-46.813026
401,Engemix - Osasco,'-23.5266123,'-46.76012950000001
402,Hospital Sabará,'-23.564313031089313,'-46.67953035246195
403,Poente do Campo,'-23.4735275,'-46.7275099
404,Nadir Figueiredo,'-23.5194812,'-46.5975129
405,Cotia Mall,'-23.600442496519353,'-46.899657650780384
406,Vivaz Penha fase 3 (carga seca),'-23.4194869,'-46.4241612
407,Pascoal Vita,'-23.5517541,'-46.6976543
408,217 - Recanto Oliveiras,'-23.512028201121502,'-46.67061671186738
409,Grand Wish Jardim,'-23.6445946,'-46.5350013
410,Mérito Santo Amaro,'-23.6472459177825,'-46.71575409858036
411,Dez Miguel Yunes Exclusive - (carga seca),'-23.362054221677678,'-46.246915277132494
412,Square Panamby (carga seca),'-23.361845,'-46.2465171
413,Living United Ipiranga Sorocabanos (carga seca),'-22.8994085,'-46.3832568
414,Dez Limão,'-23.5003811,'-46.66979670000001
415,Living Grand Wish Jardim (carga seca),'-22.901346578819613,'-46.4241612
416,Living Brooklin Bridge (carga seca),'-22.901346578819613,'-46.4241612
417,Living Infinity Nova Klabin (carga seca),'-22.903183323414197,'-46.4241612
418,Vivaz Penha,'-23.3599949,'-46.2060798
419,Elo Santo André (carga seca),'-23.4543316,'-46.5028104
420,Cidade Mooca San Pietro (carga seca),'-23.4188289,'-46.3982554
421,CYRELA - ESCRITÓRIO PAULISTA,'-23.4845774,'-46.6537127
424,Estrada Itapecerica II,'-23.645042,'-46.74550199999999
425,Adolfo Pinheiro,'-23.651747272658092,'-46.7054933384087
426,Dez Limão (carga seca),'-23.4416814,'-46.3322203
427,Estação Tolstói,'-23.570060150582094,'-46.448937610914044
432,EGTC - GUIDO CALOI (carga seca),'-23.480764107840162,'-46.5719496
433,Cyrela Mandarim The Legend (carga seca),'-22.903183323414197,'-46.4241612
434,Cyrela Pacific Belém (Fretes),'-23.1536209,'-46.4241612
435,Living Only Ipiranga (carga seca),'-23.2088283,'-46.4241612
436,Oscar Freire 1560,'-23.55803353757658,'-46.673609253052014
438,Bueno Brandão,'-23.5910814,'-46.6711896
439,Guido Parque Nações Unidas (Carga seca),'-23.361845,'-46.2465171
440,Luca Ambiental,'-23.63611,'-46.5403972
441,Guido Parque Santo Amaro (Carga seca),'-23.262239,'-46.4179085
442,JFL - Torre Renda - FASE 02,'-23.5619308,'-46.6679696
443,CD AW (Carga Seca),'-23.5242965,'-46.600867
444,Live Campo Limpo,'-23.6477539,'-46.7574343
445,Zip Brooklin,'-23.6196787,'-46.6974291
446,Cyrela Aura Moema (carga seca),'-23.2088283,'-46.4241612
447,Cyrela For You Perdizes (carga seca),'-22.8994085,'-46.5514383
448,Cyrela On The Sky (carga seca),'-23.4194869,'-46.4241612
449,Living Unique Saúde (carga seca),'-23.225368851196393,'-46.4418418
450,Vivaz Cantareira Fase 03 (carga seca),'-23.225368851196393,'-46.4241612
451,Vivaz Cantareira Fase 02 (carga seca),'-23.225368851196393,'-46.3818691
452,Vivaz Parque Freguesia do Ó - Lote 02 (Carga Seca),'-23.4194869,'-46.4241612
453,Vivaz Parque Prime Freguesia do Ó - Lote 03 (Carga Seca),'-23.4194869,'-46.4241612
454,Vivaz Prime Alto da Boa Vista (carga seca),'-23.2438445,'-46.4241612
455,Hi View,'-23.6473893,'-46.7050237
456,Vivaz Prime Alto do Ipiranga (carga seca),'-23.4194869,'-46.4241612
457,Fonseca Rodrigues,'-23.550228,'-46.5403972
458,JAGUARÉ - FRANCISCO CARLOS HIDEO UTIDA,'-23.5468797,'-46.7400859
459,Vivaz Prime Rio Bonito (carga seca),'-23.2009088,'-46.419993
460,Associacao Solidariedanca de Arte e Cultura,'-23.5959935,'-46.7400859
461,José Zappi,'-23.58035350180319,'-46.5850231805858
462,Vivaz Vila Prudente,'-23.5815771,'-46.5692485
463,Obra GPA (Carga Seca),'-23.5280104,'-46.6556704
465,Gutemberg,'-23.6301224,'-46.6707133
466,Vivaz Itaquera III,'-23.5490583,'-46.4734303
467,Biosquare,'-23.567033879873353,'-46.684010677815294
468,Cyrela Quattri Vila Mariana (carga seca),'-23.2088283,'-46.4241612
469,Vivaz Vila Prudente (carga seca),'-22.903183323414197,'-46.4241612
470,Esquina Jardyn (carga seca),'-23.3981943,'-46.426771
471,Merito Santo Amaro (Carga seca),'-23.340666094470386,'-46.2465171
472,Praça dos Amores,'-23.5961528,'-46.4780819
473,Gutemberg (carga seca),'-23.2160197,'-46.4015684
474,Fugulin Lote 01 (carga seca),'-23.2009088,'-46.4241612
475,Fugulin Lote 02 (carga seca),'-23.4038585,'-46.4241612
476,Fugulin Lote 03 (carga seca),'-23.2020593,'-46.4241612
479,Secret Garden Vila Mariana (Carga Seca),'-23.1503547,'-46.4241612
480,Bem Moema,'-23.60759613722641,'-46.668493850238775
481,Visconde de Guaratiba - II,'-23.5999437,'-46.6193795
482,Cyrela Eden Loteamento - KIBON (carga seca),'-23.5428319,'-46.5514383
483,Cyrela Casa Eden West (carga seca),'-23.225368851196393,'-46.4241612
485,Cyrela Casa Eden East (carga seca),'-23.4194869,'-46.4241612
526,Mais Vila Andrade (carga seca),'-23.4555884,'-46.4331875
528,Reserva Cidade Jardim - JHSF,'-23.5968025,'-46.5403972
529,MC Ipiranga II,'-23.63611,'-46.5403972
530,The Place Barra Funda - Fretes,'-23.340666094470386,'-46.3322203
531,378 - Bosque Cerejeiras,'-23.5198029,'-46.6801501
532,André Pereira de Souza Raduan - MPH Engenharia,'-23.591303312077205,'-46.66511454317532
535,Roberto Simonsen,'-23.5216563,'-46.2310874
536,Aurora,'-23.4974799,'-46.5488228
537,Eden by Dror West (carga seca),'-23.2088283,'-46.4241612
538,Vivaz Estação Sacomã (carga seca),'-22.896215,'-46.4241612
539,Marquise,'-23.5612357,'-46.6613962
540,Jauaperi,'-23.6071515,'-46.6695198
